name,class,image_path,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,fold,crop_path,croped
DeepBlueSea_012801400_00000011,0,./data/Images/Angry/DeepBlueSea_012801400_00000011.png,-0.001459,-0.012878,0.0076937,-0.0097576,-0.00073469,0.0017714,-0.0041431,-0.0030254,9.18e-05,0.0043961,0,data/crop_faces/0/DeepBlueSea_012801400_00000011.png,False
Bridesmaids_012332520_00000011,0,./data/Images/Angry/Bridesmaids_012332520_00000011.png,-0.0035384,-0.011047,-0.0062452,0.0028336,0.0028952,-0.0096616,0.0080819,-0.005276,-0.0030369,0.0051468,0,data/crop_faces/0/Bridesmaids_012332520_00000011.png,True
HarryPotter_Deathly_Hallows_1_000046280_00000017,0,./data/Images/Angry/HarryPotter_Deathly_Hallows_1_000046280_00000017.png,-0.0029778,0.02052,-0.015543,0.0068957,-0.008752,0.00069612,0.0053414,-0.0029007,-0.015278,-0.0047521,0,data/crop_faces/0/HarryPotter_Deathly_Hallows_1_000046280_00000017.png,True
LittleManhattan_010116283_00000006,0,./data/Images/Angry/LittleManhattan_010116283_00000006.png,-0.0042441,0.00012252,0.0071301,0.0025182,0.0080473,0.0092008,-0.0012211,0.00084929,-0.0006965,-0.004478,0,data/crop_faces/0/LittleManhattan_010116283_00000006.png,True
Bridesmaids_012330560_00000001,0,./data/Images/Angry/Bridesmaids_012330560_00000001.png,-0.0017702,-0.0084568,0.0066546,-0.0045153,0.0013009,0.0050888,0.0043552,0.0026725,-0.00076537,-0.0059968,0,data/crop_faces/0/Bridesmaids_012330560_00000001.png,True
AlexEmma_000958320_00000022,0,./data/Images/Angry/AlexEmma_000958320_00000022.png,0.00022408,0.0048942,-0.0054845,-0.0044262,-0.0098829,-0.0012781,-0.0030751,-0.0022199,0.00015534,0.00037549,0,data/crop_faces/0/AlexEmma_000958320_00000022.png,False
GirlWithAPearlEarring_005524480_00000031,0,./data/Images/Angry/GirlWithAPearlEarring_005524480_00000031.png,-0.0053487,-0.0010839,-0.01219,0.0078554,-0.0080551,0.0077203,0.013565,0.0029872,0.0062915,-0.00669,0,data/crop_faces/0/GirlWithAPearlEarring_005524480_00000031.png,True
AlexEmma_001907600_00000047,0,./data/Images/Angry/AlexEmma_001907600_00000047.png,-0.0012627,-0.022519,-0.0037013,-0.0056274,-0.009489,-0.013399,0.0034253,-0.0070648,0.0036605,0.0025155,0,data/crop_faces/0/AlexEmma_001907600_00000047.png,True
LittleManhattan_004317294_00000033,0,./data/Images/Angry/LittleManhattan_004317294_00000033.png,-0.003871,-0.023339,-0.00016651,0.0002619,0.0018112,-0.011753,0.00079929,0.0054948,0.0019036,-0.0079783,0,data/crop_faces/0/LittleManhattan_004317294_00000033.png,True
OceansEleven_001416400_00000048,0,./data/Images/Angry/OceansEleven_001416400_00000048.png,0.00029797,0.0092352,0.0069564,-0.007327,-0.01358,0.006199,-0.0029128,0.0026152,0.00704,-0.0025974,0,data/crop_faces/0/OceansEleven_001416400_00000048.png,False
OceansEleven_001533480_00000081,0,./data/Images/Angry/OceansEleven_001533480_00000081.png,-0.00059766,0.011066,0.0035029,-0.0035691,-0.0052478,0.0020865,0.00069245,0.0033774,0.0027959,-0.008256,0,data/crop_faces/0/OceansEleven_001533480_00000081.png,False
GhostShip_011515080_00000073,0,./data/Images/Angry/GhostShip_011515080_00000073.png,6.26e-05,-0.00042933,-8.95e-06,-0.013468,0.0016655,0.007089,0.00080649,0.0034118,-0.0048122,-0.0034177,0,data/crop_faces/0/GhostShip_011515080_00000073.png,False
GirlWithAPearlEarring_005526040_00000007,0,./data/Images/Angry/GirlWithAPearlEarring_005526040_00000007.png,-0.0042278,-0.011176,0.0037662,0.0055613,0.010582,-0.003008,-0.0029852,-0.0046213,-0.002663,-0.0016144,0,data/crop_faces/0/GirlWithAPearlEarring_005526040_00000007.png,True
OceansEleven_005846280_00000037,0,./data/Images/Angry/OceansEleven_005846280_00000037.png,0.044838,0.017984,-0.0014472,-0.0012301,-0.0098709,0.0069583,0.0028469,0.005083,0.0038428,0.0014897,0,data/crop_faces/0/OceansEleven_005846280_00000037.png,True
HarryPotterAndOrderOPhoenix_015256413_00000011,0,./data/Images/Angry/HarryPotterAndOrderOPhoenix_015256413_00000011.png,-0.0041063,0.019265,-0.0016824,0.0084434,-0.0028855,0.006091,0.0054821,-0.003749,0.01647,-0.0076189,0,data/crop_faces/0/HarryPotterAndOrderOPhoenix_015256413_00000011.png,True
OceansThirteen_012720200_00000036,0,./data/Images/Angry/OceansThirteen_012720200_00000036.png,0.0022316,0.01056,0.0092625,-0.017413,-0.0019716,0.0041257,-0.0042355,0.0009333,-0.004518,-0.00040984,0,data/crop_faces/0/OceansThirteen_012720200_00000036.png,False
Juno_001934160_00000047,0,./data/Images/Angry/Juno_001934160_00000047.png,-0.0036815,0.0070973,0.0019629,-0.0066919,0.010598,0.01119,0.0024974,0.005291,0.0007044,-0.0003415,0,data/crop_faces/0/Juno_001934160_00000047.png,True
Juno_001934160_00000075,0,./data/Images/Angry/Juno_001934160_00000075.png,-0.0034539,0.010414,0.0060987,-0.0060227,0.0029863,0.01274,0.0016969,0.003996,0.0011585,0.0029202,0,data/crop_faces/0/Juno_001934160_00000075.png,True
LittleManhattan_012019363_00000002,0,./data/Images/Angry/LittleManhattan_012019363_00000002.png,-0.0037109,-0.013,0.020378,0.0058961,0.0093712,0.010973,0.0069216,0.0050832,-0.0020524,-0.0017073,0,data/crop_faces/0/LittleManhattan_012019363_00000002.png,True
Bridesmaids_012258000_00000059,0,./data/Images/Angry/Bridesmaids_012258000_00000059.png,-0.0050371,-0.0048558,-0.011638,-0.0044611,0.00040298,-0.0054158,0.0083807,0.001181,-0.0057574,-0.0023598,0,data/crop_faces/0/Bridesmaids_012258000_00000059.png,True
IAmSam_003343120_00000058,0,./data/Images/Angry/IAmSam_003343120_00000058.png,-0.0053436,0.0078803,-0.0023883,0.0083389,0.014422,-0.0096549,-0.0047259,-0.00072608,0.00020576,0.0015779,1,data/crop_faces/0/IAmSam_003343120_00000058.png,False
OceansEleven_001416400_00000066,0,./data/Images/Angry/OceansEleven_001416400_00000066.png,-0.0011824,-0.0025036,-0.0055136,-0.004014,-0.0081879,-0.0072391,-0.0020787,-0.002655,0.0029003,-0.0095525,1,data/crop_faces/0/OceansEleven_001416400_00000066.png,False
